id,company,document_type,fiscal_year,quarter,call_date,transcript_url,ppt_url,summary_url
79,TCS,concall,,,Apr 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5c6ff602-30d9-490a-b147-1d824b5b6665.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/q4/Presentations/Q4%202023-24%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/21784345/
80,TCS,concall,,,Jan 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/215a0356-bb8c-4b2e-8c13-4e904e90a618.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/q3/Presentations/Q3%202023-24%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/18378912/
81,TCS,concall,,,Oct 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e617aaed-ae26-4fc8-8a6e-d79f40adc7f0.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/q2/Presentations/Q2%202023-24%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/15080779/
82,TCS,concall,,,Jul 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/46524061-48f9-497c-8217-2a4ca8479900.pdf,,https://www.screener.in/concalls/summary/12158440/
83,TCS,concall,,,Apr 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0a54627e-6d57-4e58-a672-5f15cbeb3f7e.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2022-23/q4/Presentations/Q4%20FY%202022-23%20Fact%20sheet.pdf,https://www.screener.in/concalls/summary/9207811/
84,TCS,concall,,,Jan 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/76ba7959-5943-41bd-9410-a53f3de41e26.pdf,,https://www.screener.in/concalls/summary/6645203/
85,TCS,concall,,,Oct 2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/745d6bd9-e798-419a-8d49-b6beef99ab47.pdf,,https://www.screener.in/concalls/summary/4342845/
86,TCS,concall,,,Jul 2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/76487354-b76f-4d21-8d70-d929f6b480a9.pdf,,https://www.screener.in/concalls/summary/2126544/
87,TCS,concall,,,Apr 2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f424c104-aab6-47ba-9659-65a2ce5689e1.pdf,,https://www.screener.in/concalls/summary/1463285/
88,TCS,concall,,,Jan 2022,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2021-22/q3/Management%20Commentary/Transcript%20of%20the%20Q3%202021-22%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20Jan%2012,%202022.pdf",,https://www.screener.in/concalls/summary/1326778/
89,TCS,concall,,,Oct 2021,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2021-22/q2/Management%20Commentary/Transcript%20of%20the%20Q2%202021-22%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20Oct%208,%202021.pdf",,https://www.screener.in/concalls/summary/1326777/
90,TCS,concall,,,Jul 2021,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2021-22/q1/Management%20Commentary/Transcript%20of%20the%20Q1%202021-22%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20Jul%208,%202021.pdf",,https://www.screener.in/concalls/summary/519447/
91,TCS,concall,,,Apr 2021,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2020-21/q4/Management%20Commentary/Transcript%20of%20the%20Q4%202020-21%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20Apr%2012,%202021.pdf",,https://www.screener.in/concalls/summary/519446/
92,TCS,concall,,,Feb 2021,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2020-21/q3/Management%20Commentary/Transcript%20of%20the%20Q3%202020-21%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20Jan%208,%202021.pdf",,https://www.screener.in/concalls/summary/307717/
93,TCS,concall,,,Oct 2020,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2020-21/q2/Management%20Commentary/Transcript%20of%20the%20Q2%202020-21%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20Oct%20%207,%202020.pdf",,https://www.screener.in/concalls/summary/307716/
94,TCS,concall,,,Jul 2020,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2020-21/q1/Management%20Commentary/Transcript%20of%20the%20Q1%202020-21%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20July%209,%202020.pdf",,https://www.screener.in/concalls/summary/307715/
95,TCS,concall,,,Apr 2020,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2019-20/q4/Management%20Commentary/Transcript%20of%20the%20Q4%202019-20%20Earnings%20Conference%20Call%20held%20at%202000%20hrs%20IST%20on%20April%2016,%202020.pdf",,https://www.screener.in/concalls/summary/307714/
96,TCS,concall,,,Jan 2020,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2019-20/q3/Management%20Commentary/Transcript%20of%20the%20Q3%202019-20%20Earnings%20Conference%20Call%20held%20at%201730%20hrs%20IST%20on%20January%2017,%202020.pdf",,https://www.screener.in/concalls/summary/307713/
97,TCS,concall,,,Nov 2019,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2019-20/q2/Management%20Commentary/Transcript%20of%20the%20Q2%202019-20%20Earnings%20Conference%20Call%20held%20at%201900%20hrs%20IST%20on%20October%2010,%202019.pdf",,https://www.screener.in/concalls/summary/307712/
98,TCS,concall,,,Aug 2019,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2019-20/q1/Management%20Commentary/Transcript%20of%20the%20Q1%202019-20%20Earnings%20Conference%20Call%20held%20at%201900%20hrs%20IST%20on%20July%209,%202019.pdf",,https://www.screener.in/concalls/summary/307711/
99,TCS,concall,,,Apr 2019,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2018-19/q4/Management%20Commentary/Transcript%20of%20the%20Q4%202018-19%20Earnings%20Conference%20Call%20held%20at%201930%20hrs%20IST%20on%20April%2012,%202019.pdf",,https://www.screener.in/concalls/summary/307710/
100,TCS,concall,,,Jan 2019,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2018-19/q3/Management%20Commentary/Transcript%20of%20the%20Q3%202018-19%20Earnings%20Conference%20Call%20held%20at%201900%20hrs%20IST%20on%20January%2010,%202019.pdf",,https://www.screener.in/concalls/summary/307709/
101,TCS,concall,,,Oct 2018,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2018-19/q2/Management%20Commentary/Transcript%20of%20the%20Q2%202018-19%20Earnings%20Conference%20Call%20held%20at%2019%2000%20hrs%20IST%20on%20October%2011,%202018.pdf",,https://www.screener.in/concalls/summary/307708/
102,TCS,concall,,,Jul 2018,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2018-19/q1/Management%20Commentary/Transcript%20of%20the%20Q1%202018-19%20Earnings%20Conference%20Call%20held%20at%2019%2000%20hrs%20IST%20on%20July%2010,%202018.pdf",,https://www.screener.in/concalls/summary/307707/
103,TCS,concall,,,Apr 2018,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2017-18/q4/Management%20Commentary/Transcript%20of%20the%20Q4%202017-18%20Earnings%20Conference%20Call%20held%20at%2019%2000%20hrs%20IST%20on%20April%2019,%202018.pdf",,https://www.screener.in/concalls/summary/307706/
104,TCS,concall,,,Feb 2018,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2017-18/q3/Management%20Commentary/Transcript%20of%20the%20Q3%202017-18%20Earnings%20Conference%20Call%20held%20at%2019%2000%20hrs%20IST%20on%20January%2011,%202018.pdf",,https://www.screener.in/concalls/summary/307705/
105,TCS,concall,,,Oct 2017,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2017-18/q2/Management%20Commentary/Transcript%20of%20the%20Q2%202017-18%20Earnings%20Conference%20Call%20held%20at%2019%2000%20hrs%20IST%20on%20October%2012,%202017.pdf",,https://www.screener.in/concalls/summary/307704/
106,TCS,concall,,,Aug 2017,"https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2017-18/q1/Management%20Commentary/Transcript%20of%20the%20Q1%202017-18%20Earnings%20Conference%20Call%20held%20at%2019%2000%20hrs%20IST%20on%20July%2013,%202017.pdf",,https://www.screener.in/concalls/summary/307703/
107,TCS,concall,,,Jan 2016,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6601AB63_2D6D_4FB1_B039_2EE56EC8A7B6_081341.pdf,
108,TCS,annual_report,,,Financial Year 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bb9f9e0a-e4ce-4a4e-997e-0b5de8c2bec0.pdf,,
109,TCS,annual_report,,,Financial Year 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d57e49b6-fd89-4fa8-b591-4f590100db1e.pdf,,
110,TCS,annual_report,,,Financial Year 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3837c1b7-9308-436d-9636-1d6856edf74e.pdf,,
111,TCS,annual_report,,,Financial Year 2022,https://www.bseindia.com/bseplus/AnnualReport/532540/72996532540_17_06_22.pdf,,
112,TCS,annual_report,,,Financial Year 2021,https://www.bseindia.com/bseplus/AnnualReport/532540/68468532540_25_05_21.pdf,,
113,TCS,annual_report,,,Financial Year 2020,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400320.pdf,,
114,TCS,annual_report,,,Financial Year 2019,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400319.pdf,,
115,TCS,annual_report,,,Financial Year 2018,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400318.pdf,,
116,TCS,annual_report,,,Financial Year 2017,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400317.pdf,,
117,TCS,annual_report,,,Financial Year 2016,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400316.pdf,,
118,TCS,annual_report,,,Financial Year 2015,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400315.pdf,,
119,TCS,annual_report,,,Financial Year 2014,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400314.pdf,,
120,TCS,annual_report,,,Financial Year 2013,https://archives.nseindia.com/annual_reports/AR_49_TCS_2012_2013_30052013104153.zip,,
121,TCS,annual_report,,,Financial Year 2013,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400313.pdf,,
122,TCS,annual_report,,,Financial Year 2012,https://www.bseindia.com/bseplus/AnnualReport/532540/5325400312.pdf,,
123,TCS,credit_rating,,,25 Aug 2025 from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=137189,,
124,TCS,credit_rating,,,10 Sep 2024 from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=129826,,
125,TCS,credit_rating,,,24 Jul 2023 from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=121087,,
126,TCS,credit_rating,,,30 May 2022 from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=112038,,
127,TCS,credit_rating,,,20 Sep 2021 from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=106448,,
128,TCS,credit_rating,,,30 Mar 2021 from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=102320,,
